profile_id,email,first_name,last_name,phone,organization,city,region,country,timezone,created_at,updated_at,last_event_date,utm_source,utm_medium,utm_campaign,predicted_clv,churn_risk
P001,emma.wilson@email.com,Emma,Wilson,+64211234001,Wilson Foods,Auckland,Auckland,NZ,Pacific/Auckland,2022-03-15T10:00:00Z,2024-11-20T09:00:00Z,2024-11-18T14:30:00Z,google,cpc,brand_search,2450.00,0.05
P002,james.chen@email.com,James,Chen,+64211234002,Chen Enterprises,Wellington,Wellington,NZ,Pacific/Auckland,2022-05-20T11:30:00Z,2024-11-15T10:00:00Z,2024-11-10T16:45:00Z,facebook,paid_social,summer_sale,1890.00,0.08
P003,sarah.thompson@email.com,Sarah,Thompson,+64211234003,,Christchurch,Canterbury,NZ,Pacific/Auckland,2022-01-10T09:00:00Z,2024-11-22T08:00:00Z,2024-11-20T11:00:00Z,direct,,,,3200.00,0.03
P004,michael.brown@email.com,Michael,Brown,+64211234004,Brown & Co,Hamilton,Waikato,NZ,Pacific/Auckland,2022-08-05T14:00:00Z,2024-11-18T12:00:00Z,2024-11-15T09:30:00Z,google,organic,,1650.00,0.10
P005,olivia.martinez@email.com,Olivia,Martinez,+64211234005,,Tauranga,Bay of Plenty,NZ,Pacific/Auckland,2022-11-12T16:00:00Z,2024-11-21T14:00:00Z,2024-11-19T10:15:00Z,instagram,paid_social,winter_promo,2100.00,0.06
P006,william.taylor@email.com,William,Taylor,+64211234006,Taylor Group,Dunedin,Otago,NZ,Pacific/Auckland,2023-02-28T10:30:00Z,2024-11-10T11:00:00Z,2024-11-08T15:00:00Z,email,newsletter,,1420.00,0.12
P007,ava.anderson@email.com,Ava,Anderson,+64211234007,,Auckland,Auckland,NZ,Pacific/Auckland,2023-04-15T13:00:00Z,2024-11-19T09:30:00Z,2024-11-17T12:45:00Z,referral,friend,,980.00,0.15
P008,noah.jackson@email.com,Noah,Jackson,+64211234008,Jackson Ltd,Wellington,Wellington,NZ,Pacific/Auckland,2023-01-08T11:00:00Z,2024-11-20T10:00:00Z,2024-11-18T14:00:00Z,google,cpc,cookie_lovers,2750.00,0.04
P009,sophia.white@email.com,Sophia,White,+64211234009,,Napier,Hawkes Bay,NZ,Pacific/Auckland,2023-06-20T15:30:00Z,2024-11-16T08:00:00Z,2024-11-14T11:30:00Z,facebook,organic,,1100.00,0.18
P010,liam.harris@email.com,Liam,Harris,+64211234010,Harris Bakery,Auckland,Auckland,NZ,Pacific/Auckland,2022-09-10T09:00:00Z,2024-11-21T13:00:00Z,2024-11-20T16:00:00Z,direct,,,3500.00,0.02
P011,isabella.martin@email.com,Isabella,Martin,+64211234011,,Queenstown,Otago,NZ,Pacific/Auckland,2024-09-01T10:00:00Z,2024-11-18T11:00:00Z,2024-11-15T09:00:00Z,google,cpc,new_customer,185.00,0.25
P012,mason.garcia@email.com,Mason,Garcia,+64211234012,,Rotorua,Bay of Plenty,NZ,Pacific/Auckland,2024-08-15T14:00:00Z,2024-11-12T10:00:00Z,2024-11-10T14:30:00Z,instagram,influencer,,220.00,0.22
P013,mia.rodriguez@email.com,Mia,Rodriguez,+64211234013,Rodriguez Catering,Auckland,Auckland,NZ,Pacific/Auckland,2024-10-05T11:30:00Z,2024-11-20T09:00:00Z,2024-11-18T10:45:00Z,facebook,paid_social,premium_launch,350.00,0.15
P014,ethan.lee@email.com,Ethan,Lee,+64211234014,,Palmerston North,Manawatu,NZ,Pacific/Auckland,2024-09-20T16:00:00Z,2024-11-15T12:00:00Z,2024-11-12T15:00:00Z,google,organic,,145.00,0.30
P015,charlotte.walker@email.com,Charlotte,Walker,+64211234015,,Nelson,Nelson,NZ,Pacific/Auckland,2024-10-12T09:30:00Z,2024-11-19T14:00:00Z,2024-11-17T11:00:00Z,email,welcome_series,,280.00,0.20
P016,alexander.hall@email.com,Alexander,Hall,+64211234016,Hall Events,Christchurch,Canterbury,NZ,Pacific/Auckland,2023-03-10T10:00:00Z,2024-08-15T11:00:00Z,2024-08-10T09:30:00Z,google,cpc,corporate,890.00,0.45
P017,amelia.allen@email.com,Amelia,Allen,+64211234017,,Wellington,Wellington,NZ,Pacific/Auckland,2023-05-22T13:30:00Z,2024-09-01T10:00:00Z,2024-08-25T14:00:00Z,facebook,paid_social,,750.00,0.52
P018,benjamin.young@email.com,Benjamin,Young,+64211234018,,Auckland,Auckland,NZ,Pacific/Auckland,2023-07-14T11:00:00Z,2024-07-20T09:00:00Z,2024-07-15T16:30:00Z,direct,,,1200.00,0.65
P019,harper.king@email.com,Harper,King,+64211234019,King Hospitality,Hamilton,Waikato,NZ,Pacific/Auckland,2023-02-05T14:30:00Z,2024-08-30T12:00:00Z,2024-08-22T10:00:00Z,referral,partner,,980.00,0.48
P020,daniel.wright@email.com,Daniel,Wright,+64211234020,,Tauranga,Bay of Plenty,NZ,Pacific/Auckland,2023-09-18T10:00:00Z,2024-09-10T11:00:00Z,2024-09-05T15:45:00Z,google,organic,,650.00,0.55
P021,evelyn.lopez@email.com,Evelyn,Lopez,+64211234021,,Auckland,Auckland,NZ,Pacific/Auckland,2023-04-01T09:00:00Z,2024-05-15T10:00:00Z,2024-05-10T11:30:00Z,instagram,organic,,420.00,0.78
P022,matthew.hill@email.com,Matthew,Hill,+64211234022,,Dunedin,Otago,NZ,Pacific/Auckland,2022-12-10T11:30:00Z,2024-04-20T09:00:00Z,2024-04-15T14:00:00Z,email,newsletter,,1580.00,0.82
P023,abigail.scott@email.com,Abigail,Scott,+64211234023,Scott Supplies,Wellington,Wellington,NZ,Pacific/Auckland,2023-01-25T14:00:00Z,2024-06-10T12:00:00Z,2024-06-05T09:45:00Z,google,cpc,,890.00,0.75
P024,joseph.green@email.com,Joseph,Green,+64211234024,,Napier,Hawkes Bay,NZ,Pacific/Auckland,2023-06-08T10:30:00Z,2024-05-01T11:00:00Z,2024-04-28T16:00:00Z,facebook,retargeting,,340.00,0.85
P025,emily.adams@email.com,Emily,Adams,+64211234025,,Christchurch,Canterbury,NZ,Pacific/Auckland,2022-11-05T15:00:00Z,2024-03-20T10:00:00Z,2024-03-15T12:30:00Z,direct,,,2100.00,0.88
P026,david.baker@email.com,David,Baker,+64211234026,,Auckland,Auckland,NZ,Pacific/Auckland,2024-03-15T11:00:00Z,2024-09-20T09:00:00Z,2024-09-15T14:00:00Z,google,cpc,spring_sale,85.00,0.35
